ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase,inside,outside
2127,TYa2737,2737,石名田木舟遺跡,Toyama,B2-SK2098,TK,12.9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ→体部：D字ナデ→口縁：横ナデ、見込：指ナデ,口縁：横ナデ
2128,TYa2741,2741,石名田木舟遺跡,Toyama,B2-SK2238,TK,10,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期,見込：一方向ナデ・指ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2129,TYa2762,2762,石名田木舟遺跡,Toyama,B2-SK3705,TK,8.8,2,（財）富山県文化振興財団2002,TRUE,,,見込：一方向ナデ・指ナデ、体部：D字ナデ、口縁：横ナデ,口縁：横ナデ
2130,TYa2763,2763,石名田木舟遺跡,Toyama,B2-SK3706,TK,9,1.5,（財）富山県文化振興財団2002,TRUE,,,体部：横ナデ（不明）→見込：指ナデ、口縁：横ナデ,口縁：横ナデ
2131,TYa2866,2866,石名田木舟遺跡,Toyama,包含層,TK,7.9,1.9,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2132,TYa2867,2867,石名田木舟遺跡,Toyama,包含層,TK,8.7,1.8,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2133,TYa2868,2868,石名田木舟遺跡,Toyama,包含層,TK,9.1,2.3,（財）富山県文化振興財団2002,TRUE,,,,
2134,TYa2869,2869,石名田木舟遺跡,Toyama,包含層,TK,8.9,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2135,TYa2870,2870,石名田木舟遺跡,Toyama,包含層,TK,8.9,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2136,TYa2872,2872,石名田木舟遺跡,Toyama,包含層,TK,8.9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2137,TYa2874,2874,石名田木舟遺跡,Toyama,包含層,TK,9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2138,TYa2875,2875,石名田木舟遺跡,Toyama,包含層,TK,9,2.3,（財）富山県文化振興財団2002,TRUE,,,,
2139,TYa2876,2876,石名田木舟遺跡,Toyama,包含層,TK,9,2,（財）富山県文化振興財団2002,TRUE,,,,
2140,TYa2878,2878,石名田木舟遺跡,Toyama,包含層,TK,9.1,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2141,TYa2881,2881,石名田木舟遺跡,Toyama,包含層,TK,9.5,2.2,（財）富山県文化振興財団2002,TRUE,,,,
2142,TYa2882,2882,石名田木舟遺跡,Toyama,包含層,TK,9.4,2.7,（財）富山県文化振興財団2002,TRUE,,,,
2143,TYa2883,2883,石名田木舟遺跡,Toyama,包含層,TK,9.4,1.8,（財）富山県文化振興財団2002,TRUE,,,,
2144,TYa2885,2885,石名田木舟遺跡,Toyama,包含層,TK,9.8,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2145,TYa2886,2886,石名田木舟遺跡,Toyama,包含層,TK,9.9,2,（財）富山県文化振興財団2002,TRUE,,,,
2146,TYa2887,2887,石名田木舟遺跡,Toyama,包含層,TK,9.9,1.7,（財）富山県文化振興財団2002,TRUE,,,,
2147,TYa2890,2890,石名田木舟遺跡,Toyama,包含層,TK,9.8,2.4,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2148,TYa2894,2894,石名田木舟遺跡,Toyama,包含層,TK,9.8,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2149,TYa2896,2896,石名田木舟遺跡,Toyama,包含層,TK,10.4,2.5,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2150,TYa2897,2897,石名田木舟遺跡,Toyama,包含層,TK,10.3,2.5,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2151,TYa2898,2898,石名田木舟遺跡,Toyama,包含層,TK,10.3,2.4,（財）富山県文化振興財団2002,TRUE,,,,
2152,TYa2901,2901,石名田木舟遺跡,Toyama,包含層,TK,11,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2153,TYa2903,2903,石名田木舟遺跡,Toyama,包含層,TK,11.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2154,TYa2906,2906,石名田木舟遺跡,Toyama,包含層,TK,11.8,2.4,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,,
2155,TYa2908,2908,石名田木舟遺跡,Toyama,包含層,TK,11.9,1.8,（財）富山県文化振興財団2002,TRUE,,,,
2156,TYa2910,2910,石名田木舟遺跡,Toyama,包含層,TK,12.4,2.2,（財）富山県文化振興財団2002,TRUE,,,,
2157,TYa2913,2913,石名田木舟遺跡,Toyama,包含層,TK,13,2.5,（財）富山県文化振興財団2002,TRUE,,,,
2158,TYa4764,4764,石名田木舟遺跡,Toyama,SD7030,RF,7.9,2,（財）富山県文化振興財団2002,TRUE,,IS_F-H_3期1,,
2159,TYa4766,4766,石名田木舟遺跡,Toyama,SD7030,RH,14.2,2.8,（財）富山県文化振興財団2002,TRUE,,IS_F-H_3期1,,
2160,TYc070,70,仏生寺城跡（2000）,Toyama,SD06,TJ,7.2,1.5,,TRUE,,BS_L15C,,
2160,TYc070,70,仏生寺城跡（2000）,Toyama,SD06,TJ,7.2,1.5,,TRUE,,SJ_1期,,
2161,TYc071,71,仏生寺城跡（2000）,Toyama,SD06,TJ,7.3,1.5,,TRUE,,BS_L15C,,
2161,TYc071,71,仏生寺城跡（2000）,Toyama,SD06,TJ,7.3,1.5,,TRUE,,SJ_2期,,
2161,TYc071,71,仏生寺城跡（2000）,Toyama,SD06,TJ,7.3,1.5,,TRUE,,KD_新期,,
2162,TYc072,72,仏生寺城跡（2000）,Toyama,SD06,TJ,7.6,1.5,,TRUE,,BS_L15C,,
2162,TYc072,72,仏生寺城跡（2000）,Toyama,SD06,TJ,7.6,1.5,,TRUE,,SJ_2期,,
2162,TYc072,72,仏生寺城跡（2000）,Toyama,SD06,TJ,7.6,1.5,,TRUE,,KD_新期,,
2163,TYc074,74,仏生寺城跡（2000）,Toyama,SD06,TJ,8.3,1.7,,TRUE,,BS_L15C,,
2163,TYc074,74,仏生寺城跡（2000）,Toyama,SD06,TJ,8.3,1.7,,TRUE,,SJ_1期,,
2164,TYc075,75,仏生寺城跡（2000）,Toyama,SD06,TJ,8.2,1.4,,TRUE,,BS_L15C,,
2164,TYc075,75,仏生寺城跡（2000）,Toyama,SD06,TJ,8.2,1.4,,TRUE,,SJ_1期,,
2165,TYc078,78,仏生寺城跡（2000）,Toyama,SD06,TJ,8.6,1.6,,TRUE,,BS_L15C,,
2165,TYc078,78,仏生寺城跡（2000）,Toyama,SD06,TJ,8.6,1.6,,TRUE,,SJ_1期,,
2166,TYc079,79,仏生寺城跡（2000）,Toyama,SD06,TJ,9,1.8,,TRUE,,BS_L15C,,
2167,TYc083,83,仏生寺城跡（2000）,Toyama,SD06,TJ,9.6,1.8,,TRUE,,BS_L15C,,
2167,TYc083,83,仏生寺城跡（2000）,Toyama,SD06,TJ,9.6,1.8,,TRUE,,SJ_1期,,
2168,TYc084,84,仏生寺城跡（2000）,Toyama,SD06,TJ,9.4,1.8,,TRUE,,BS_L15C,,
2169,TYc085,85,仏生寺城跡（2000）,Toyama,SD06,TJ,9.8,2.1,,TRUE,,BS_L15C,,
2170,TYc086,86,仏生寺城跡（2000）,Toyama,SD06,TJ,9.2,1.9,,TRUE,,BS_L15C,,
2170,TYc086,86,仏生寺城跡（2000）,Toyama,SD06,TJ,9.2,1.9,,TRUE,,SJ_1期,,
2171,TYc087,87,仏生寺城跡（2000）,Toyama,SD06,TJ,9,1.9,,TRUE,,BS_L15C,,
2172,TYc088,88,仏生寺城跡（2000）,Toyama,SD06,TJ,11.6,2.3,,TRUE,,BS_L15C,,
2173,TYc092,92,仏生寺城跡（2000）,Toyama,SD06,TJ,14,2.7,,TRUE,,BS_L15C,,
2174,TYc095,95,仏生寺城跡（2000）,Toyama,SD06,TJ,14.1,2.8,,TRUE,,BS_L15C,,
2175,TYc096,96,仏生寺城跡（2000）,Toyama,SD06,TJ,13.1,2.6,,TRUE,,BS_L15C,,
