ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2190,TYc168,168,仏生寺城跡（2000）,Toyama,SD17,TJ,10.6,2.2,,TRUE,,15世期後半
2191,TYc172,172,仏生寺城跡（2000）,Toyama,SD17,TJ,17.7,3.6,,TRUE,,15世期後半
2192,TYc178,178,仏生寺城跡（2000）,Toyama,SD17,TI,9.3,1.9,,TRUE,,15世期後半
2193,TYc179,179,仏生寺城跡（2000）,Toyama,SD17,TI,9.6,1.8,,TRUE,,15世期後半
2194,TYc182,182,仏生寺城跡（2000）,Toyama,SD17,TI,9,2,,TRUE,,15世期後半
2195,TYc184,184,仏生寺城跡（2000）,Toyama,SD17,TI,9.6,2.1,,TRUE,,15世期後半
2196,TYc185,185,仏生寺城跡（2000）,Toyama,SD17,TI,9,1.7,,TRUE,,15世期後半
2197,TYc187,187,仏生寺城跡（2000）,Toyama,SD17,TI,9.3,2,,TRUE,,15世期後半
2198,TYc188,188,仏生寺城跡（2000）,Toyama,SD17,TI,9,2,,TRUE,,15世期後半
2199,TYc197,197,仏生寺城跡（2000）,Toyama,SD17,RF,9,1.8,,TRUE,,15世期後半
2200,TYd001,1,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.5,1.57,,TRUE,,15世期後半
2201,TYd002,2,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.4,1.6,,TRUE,,15世期後半
2202,TYd003,3,仏生寺城跡（2005）,Toyama,1T中央土坑,TI,8.2,1.68,,TRUE,,15世期後半
2203,TYd006,6,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,8.2,1.4,,TRUE,,15世期後半
2204,TYd007,7,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,8.2,1.7,,TRUE,,15世期後半
2205,TYd008,8,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.3,1.85,,TRUE,,15世期後半
2206,TYd009,9,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.8,1.7,,TRUE,,15世期後半
2207,TYd010,10,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.7,1.7,,TRUE,,15世期後半
2208,TYd011,11,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,9.6,1.8,,TRUE,,15世期後半
2209,TYd012,12,仏生寺城跡（2005）,Toyama,1T中央土坑,RF,11.8,2.1,,TRUE,,15世期後半
2210,TYd013,13,仏生寺城跡（2005）,Toyama,1T中央土坑,TJ,8.4,1.75,,TRUE,,15世期後半
2211,TYd015,15,仏生寺城跡（2005）,Toyama,1T中央土坑,RH,15.9,2.6,,TRUE,,15世期後半
2212,TYe032,32,新庄城跡,Toyama,1SK293,TJ,7.9,1.4,,TRUE,,
2213,TYe049,49,新庄城跡,Toyama,1SK256,TI,9.2,1.7,,TRUE,,
2214,TYe050,50,新庄城跡,Toyama,1SK256,TI,8.5,1.9,,TRUE,,
2215,TYe051,51,新庄城跡,Toyama,1SD04,TJ,10.6,2,,TRUE,,新庄城跡2期
2216,TYe059,59,新庄城跡,Toyama,1SK117,RH,13.5,2.2,,TRUE,,
2217,TYe060,60,新庄城跡,Toyama,2層,RH,16.5,3,,TRUE,,
2218,TYe061,61,新庄城跡,Toyama,1SD04,RH,14.9,2.7,,TRUE,,新庄城跡2期
2219,TYe063,63,新庄城跡,Toyama,1SK28,RH,15.7,2.6,,TRUE,,
2220,TYe064,64,新庄城跡,Toyama,1SD04,TJ-b,15.1,2.1,,TRUE,,新庄城跡2期
2221,TYe067,67,新庄城跡,Toyama,1SA01,TI,15.3,2.4,,TRUE,,新庄城跡1期
2222,TYe068,68,新庄城跡,Toyama,1SD05,TJ-b,12.5,2.3,,TRUE,,新庄城跡1期
2223,TYe070,70,新庄城跡,Toyama,1SD05,TJ,15.7,2.7,,TRUE,,新庄城跡1期
2224,TYe071,71,新庄城跡,Toyama,1SD04,TJ-b,13.9,2.8,,TRUE,,新庄城跡2期
2225,TYe072,72,新庄城跡,Toyama,1SD04,TJ-b,15.1,3.1,,TRUE,,新庄城跡2期
2226,TYe073,73,新庄城跡,Toyama,1SD04,TJ,16.1,3,,TRUE,,新庄城跡2期
2227,TYe074,74,新庄城跡,Toyama,1SA01,TJ-b,13.1,2.3,,TRUE,,新庄城跡1期
2228,TYe075,75,新庄城跡,Toyama,1SD05,,14.2,2.2,,TRUE,,新庄城跡1期
