ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Processing_marks,Phase,inside,outside
2133,TYa2878,2878,石名田木舟遺跡,Toyama,B2-包含層,TK,9.1,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2134,TYa2881,2881,石名田木舟遺跡,Toyama,B2-包含層,TK,9.5,2.2,（財）富山県文化振興財団2002,TRUE,,,未確認,
2135,TYa2882,2882,石名田木舟遺跡,Toyama,B2-包含層,TK,9.4,2.7,（財）富山県文化振興財団2002,TRUE,,,未確認,
2136,TYa2883,2883,石名田木舟遺跡,Toyama,B2-包含層,TK,9.4,1.8,（財）富山県文化振興財団2002,TRUE,,,未確認,
2137,TYa2885,2885,石名田木舟遺跡,Toyama,B2-包含層,TK,9.8,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2138,TYa2886,2886,石名田木舟遺跡,Toyama,B2-包含層,TK,9.9,2,（財）富山県文化振興財団2002,TRUE,,,未確認,
2139,TYa2887,2887,石名田木舟遺跡,Toyama,B2-包含層,TK,9.9,1.7,（財）富山県文化振興財団2002,TRUE,,,未確認,
2140,TYa2890,2890,石名田木舟遺跡,Toyama,B2-包含層,TK,9.8,2.4,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2141,TYa2894,2894,石名田木舟遺跡,Toyama,B2-包含層,TK,9.8,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2142,TYa2896,2896,石名田木舟遺跡,Toyama,B2-包含層,TK,10.4,2.5,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2143,TYa2897,2897,石名田木舟遺跡,Toyama,B2-包含層,TK,10.3,2.5,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2144,TYa2898,2898,石名田木舟遺跡,Toyama,B2-包含層,TK,10.3,2.4,（財）富山県文化振興財団2002,TRUE,,,未確認,
2145,TYa2901,2901,石名田木舟遺跡,Toyama,B2-包含層,TK,11,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2146,TYa2903,2903,石名田木舟遺跡,Toyama,B2-包含層,TK,11.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2147,TYa2906,2906,石名田木舟遺跡,Toyama,B2-包含層,TK,11.8,2.4,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期,未確認,
2148,TYa2908,2908,石名田木舟遺跡,Toyama,B2-包含層,TK,11.9,1.8,（財）富山県文化振興財団2002,TRUE,,,未確認,
2149,TYa2910,2910,石名田木舟遺跡,Toyama,B2-包含層,TK,12.4,2.2,（財）富山県文化振興財団2002,TRUE,,,未確認,
2150,TYa2913,2913,石名田木舟遺跡,Toyama,B2-包含層,TK,13,2.5,（財）富山県文化振興財団2002,TRUE,,,未確認,
